dim,n_points,version,threads,time_mean_s,time_std_s,speedup,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
2,100000,serial,1,0.12181,0.02694,1.0,0.147,0.0994,0.1452,0.0851,0.146,0.1263,0.0866,0.0885,0.1454,0.1486
2,100000,parallel,1,0.10463,0.01837,1.1642,0.0832,0.1043,0.1378,0.0927,0.0984,0.139,0.0989,0.0852,0.1078,0.099
2,100000,parallel,8,0.02014,0.00306,6.0482,0.025,0.025,0.0225,0.0218,0.0191,0.019,0.0186,0.017,0.0169,0.0165
2,100000,parallel,16,0.03299,0.02716,3.6923,0.071,0.0759,0.0155,0.0565,0.059,0.0117,0.0099,0.0098,0.01,0.0106
2,100000,parallel,32,0.01739,0.00168,7.0046,0.0163,0.0207,0.0182,0.0163,0.0186,0.0166,0.0158,0.0175,0.0148,0.0191
2,200000,serial,1,0.36124,0.00621,1.0,0.3685,0.371,0.3699,0.362,0.3541,0.3591,0.3534,0.3605,0.355,0.3589
2,200000,parallel,1,0.34676,0.0072,1.0418,0.3351,0.3515,0.3479,0.3461,0.3583,0.339,0.3552,0.3379,0.346,0.3506
2,200000,parallel,8,0.12266,0.00576,2.9451,0.122,0.1359,0.1268,0.1202,0.116,0.1235,0.1188,0.1262,0.1149,0.1223
2,200000,parallel,16,0.15728,0.03929,2.2968,0.181,0.1388,0.0997,0.2157,0.1222,0.1865,0.099,0.2003,0.1782,0.1514
2,200000,parallel,32,0.12332,0.00623,2.9293,0.1143,0.1238,0.1246,0.1246,0.1146,0.1227,0.1255,0.1286,0.1363,0.1182
2,300000,serial,1,0.25847,0.00673,1.0,0.261,0.2558,0.267,0.248,0.2553,0.2556,0.2672,0.2667,0.2488,0.2593
2,300000,parallel,1,0.24038,0.004,1.0753,0.2429,0.2403,0.2493,0.2355,0.239,0.2391,0.2343,0.2434,0.2404,0.2396
2,300000,parallel,8,0.08139,0.00384,3.1757,0.0816,0.08,0.0771,0.0826,0.089,0.0811,0.0764,0.0786,0.0803,0.0872
2,300000,parallel,16,0.09179,0.02662,2.8159,0.0743,0.0919,0.08,0.1483,0.063,0.085,0.0838,0.0839,0.071,0.1367
2,300000,parallel,32,0.0784,0.00341,3.2968,0.0789,0.0855,0.0776,0.0734,0.0792,0.0766,0.0761,0.0745,0.0819,0.0803
2,400000,serial,1,0.33919,0.0041,1.0,0.3438,0.3404,0.3456,0.3364,0.3396,0.3343,0.3435,0.334,0.3402,0.3341
2,400000,parallel,1,0.32067,0.00557,1.0578,0.3254,0.3124,0.3227,0.3128,0.3308,0.3229,0.3221,0.3171,0.3242,0.3163
2,400000,parallel,8,0.12132,0.01055,2.7958,0.1136,0.103,0.1108,0.1364,0.1338,0.132,0.1283,0.1137,0.1199,0.1217
2,400000,parallel,16,0.15145,0.03544,2.2396,0.1603,0.2312,0.1952,0.1364,0.1454,0.1564,0.1318,0.126,0.1025,0.1293
2,400000,parallel,32,0.12064,0.01776,2.8116,0.1158,0.1417,0.1485,0.1507,0.1035,0.1067,0.1162,0.1066,0.1077,0.109
2,600000,serial,1,1.05845,0.02273,1.0,1.1243,1.0514,1.045,1.051,1.0584,1.0544,1.0619,1.0413,1.0453,1.0515
2,600000,parallel,1,0.98559,0.0094,1.0739,0.9858,0.9918,1.0091,0.9767,0.9837,0.9839,0.9824,0.9901,0.9768,0.9756
2,600000,parallel,8,0.36623,0.01071,2.8901,0.3492,0.3837,0.365,0.356,0.3727,0.3687,0.3703,0.3766,0.37,0.3501
2,600000,parallel,16,0.38026,0.04442,2.7835,0.4973,0.4079,0.3316,0.3648,0.3876,0.3451,0.371,0.3852,0.3492,0.3629
2,600000,parallel,32,0.34361,0.01073,3.0804,0.3632,0.3287,0.348,0.3513,0.3334,0.3479,0.3453,0.3263,0.3499,0.3421
2,800000,serial,1,0.5459,0.00697,1.0,0.5369,0.5348,0.549,0.5442,0.5487,0.5567,0.5563,0.5483,0.5415,0.5426
2,800000,parallel,1,0.50644,0.0032,1.0779,0.5025,0.5032,0.5061,0.5126,0.5066,0.5094,0.5094,0.5069,0.5057,0.502
2,800000,parallel,8,0.19061,0.00832,2.864,0.1824,0.2089,0.1819,0.1915,0.199,0.1944,0.1888,0.1795,0.1893,0.1904
2,800000,parallel,16,0.19012,0.02041,2.8713,0.1857,0.2109,0.1673,0.1919,0.1641,0.2032,0.1907,0.208,0.2215,0.1579
2,800000,parallel,32,0.18155,0.00505,3.0069,0.1797,0.1777,0.1793,0.1812,0.1743,0.1821,0.1876,0.1823,0.193,0.1783
2,1000000,serial,1,1.70285,0.02103,1.0,1.7557,1.6753,1.6931,1.6867,1.6967,1.7108,1.709,1.7002,1.7139,1.6871
2,1000000,parallel,1,1.67865,0.11499,1.0144,1.6175,1.58,1.6007,1.8626,1.738,1.586,1.517,1.6501,1.8431,1.7915
2,1000000,parallel,8,0.7121,0.04564,2.3913,0.7348,0.6892,0.7551,0.664,0.7259,0.768,0.7796,0.6899,0.6822,0.6323
2,1000000,parallel,16,0.77093,0.18857,2.2088,1.0401,0.7218,0.6337,0.9528,1.1077,0.7687,0.5959,0.7562,0.5471,0.5853
2,1000000,parallel,32,0.7431,0.09507,2.2915,0.7481,0.5848,0.6891,0.8243,0.8487,0.8708,0.7738,0.7499,0.5789,0.7626
3,100000,serial,1,0.02428,0.00194,1.0,0.0226,0.0222,0.0266,0.0284,0.0225,0.0247,0.0228,0.023,0.0248,0.0252
3,100000,parallel,1,0.02363,0.00254,1.0275,0.0234,0.0212,0.0247,0.0198,0.0206,0.0251,0.0229,0.0238,0.0285,0.0263
3,100000,parallel,8,0.00791,0.00101,3.0695,0.0089,0.0087,0.0089,0.0061,0.0061,0.008,0.0084,0.0073,0.0084,0.0083
3,100000,parallel,16,0.02945,0.02842,0.8244,0.0073,0.0068,0.0428,0.0235,0.0049,0.0418,0.0066,0.0599,0.0939,0.007
3,100000,parallel,32,0.01045,0.002,2.3234,0.0099,0.009,0.0079,0.0084,0.008,0.0104,0.013,0.0125,0.013,0.0124
3,200000,serial,1,0.35499,0.03094,1.0,0.343,0.3999,0.3453,0.4135,0.3735,0.3328,0.3174,0.3683,0.3245,0.3317
3,200000,parallel,1,0.3194,0.00879,1.1114,0.3105,0.3184,0.34,0.3238,0.3275,0.3145,0.318,0.3109,0.3202,0.3102
3,200000,parallel,8,0.1109,0.00709,3.201,0.1193,0.1082,0.1084,0.104,0.1055,0.1241,0.1072,0.1022,0.1197,0.1104
3,200000,parallel,16,0.11174,0.01959,3.1769,0.1008,0.088,0.1096,0.121,0.094,0.0911,0.1454,0.1459,0.1142,0.1074
3,200000,parallel,32,0.10539,0.00681,3.3683,0.0989,0.1132,0.0994,0.1023,0.1148,0.1035,0.0953,0.1137,0.1014,0.1114
3,300000,serial,1,0.40833,0.00663,1.0,0.4188,0.4053,0.4084,0.4181,0.3982,0.4157,0.4028,0.4029,0.4076,0.4055
3,300000,parallel,1,0.40372,0.00398,1.0114,0.4069,0.4007,0.4096,0.4065,0.3974,0.4079,0.4011,0.4038,0.4051,0.3982
3,300000,parallel,8,0.14086,0.00688,2.8988,0.143,0.1447,0.1377,0.1538,0.1356,0.1388,0.1506,0.1299,0.1359,0.1386
3,300000,parallel,16,0.149,0.01901,2.7405,0.1536,0.1569,0.1706,0.128,0.147,0.1262,0.1437,0.1907,0.1331,0.1402
3,300000,parallel,32,0.1331,0.00721,3.0678,0.1406,0.1239,0.1346,0.1403,0.1213,0.1299,0.1337,0.1285,0.1327,0.1455
3,400000,serial,1,0.61688,0.00489,1.0,0.6155,0.6175,0.6164,0.6275,0.6179,0.6236,0.6118,0.612,0.6123,0.6143
3,400000,parallel,1,0.60548,0.00422,1.0188,0.6054,0.6089,0.6038,0.5992,0.5985,0.6096,0.6034,0.6126,0.6069,0.6065
3,400000,parallel,8,0.23347,0.00764,2.6422,0.2279,0.2356,0.2219,0.2466,0.2307,0.2425,0.2237,0.2393,0.2298,0.2367
3,400000,parallel,16,0.30901,0.17941,1.9963,0.1924,0.3031,0.2096,0.2586,0.2001,0.8353,0.2713,0.2402,0.2968,0.2827
3,400000,parallel,32,0.22991,0.0323,2.6831,0.2042,0.3097,0.2062,0.2339,0.2255,0.2627,0.2061,0.215,0.1998,0.236
3,600000,serial,1,0.09729,0.00528,1.0,0.0939,0.1126,0.0938,0.098,0.0954,0.097,0.0944,0.0966,0.0947,0.0965
3,600000,parallel,1,0.09507,0.00162,1.0234,0.0943,0.0942,0.0952,0.0948,0.0994,0.095,0.0955,0.0939,0.0954,0.093
3,600000,parallel,8,0.03115,0.00243,3.1233,0.0296,0.0333,0.0324,0.0325,0.03,0.0296,0.0293,0.0307,0.0276,0.0365
3,600000,parallel,16,0.04287,0.01443,2.2694,0.0359,0.0457,0.0445,0.0363,0.0364,0.0284,0.0403,0.0839,0.0377,0.0396
3,600000,parallel,32,0.03144,0.00173,3.0945,0.031,0.0322,0.0301,0.0298,0.0349,0.0301,0.0304,0.034,0.0321,0.0298
3,800000,serial,1,2.14634,0.01468,1.0,2.1808,2.1614,2.1562,2.1436,2.1401,2.1319,2.1323,2.135,2.1391,2.143
3,800000,parallel,1,2.10007,0.01296,1.022,2.1195,2.0914,2.0945,2.0914,2.1047,2.0906,2.1292,2.09,2.0954,2.094
3,800000,parallel,8,0.86408,0.01368,2.484,0.8868,0.8546,0.8499,0.8675,0.8769,0.8818,0.85,0.8447,0.8639,0.8647
3,800000,parallel,16,0.83972,0.02009,2.556,0.8488,0.8356,0.804,0.8302,0.8488,0.8322,0.8757,0.8256,0.8282,0.8681
3,800000,parallel,32,0.79124,0.01624,2.7126,0.7943,0.8012,0.7943,0.7707,0.7798,0.8229,0.7917,0.7812,0.8087,0.7676
3,1000000,serial,1,4.24044,0.2575,1.0,4.0622,4.0753,4.0775,4.0853,4.0766,4.0986,4.8973,4.5067,4.302,4.2229
3,1000000,parallel,1,4.27342,0.19951,0.9923,4.5708,4.3099,4.3724,4.1058,4.1771,4.2073,4.3396,4.0217,4.0102,4.6194
3,1000000,parallel,8,1.74726,0.10232,2.4269,1.9431,1.6688,1.6479,1.8607,1.8136,1.8304,1.7461,1.6489,1.6557,1.6574
3,1000000,parallel,16,1.65748,0.20253,2.5584,2.2486,1.5225,1.567,1.593,1.6363,1.5918,1.595,1.571,1.5476,1.702
3,1000000,parallel,32,1.53427,0.01878,2.7638,1.5307,1.5306,1.5646,1.5322,1.5326,1.5075,1.5263,1.5229,1.5732,1.5221
